Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000168140,VASN,Gene Expression,0.0894671968009323,0.0,0.0,12890,1.069137492003273,7205
ENSG00000102038,SMARCA1,Gene Expression,0.08946280859958283,0.0,0.0,26008,2.038996205409226,9525
ENSG00000166206,GABRB3,Gene Expression,0.08943719010854914,0.0,0.0,10282,0.8237580246758119,6244
ENSG00000179195,ZNF664,Gene Expression,0.0892650991168799,0.0,0.0,37332,2.9514485035930407,10558
ENSG00000132359,RAP1GAP2,Gene Expression,0.08917314952469382,0.0,0.0,2739,0.24587509228737295,2294
ENSG00000135454,B4GALNT1,Gene Expression,0.08916308400006273,0.0,0.0,1701,0.1567096560766119,1384
ENSG00000115594,IL1R1,Gene Expression,0.08915382501796458,0.0,0.0,21462,1.7794913801540966,9142
ENSG00000120833,SOCS2,Gene Expression,0.08915124482981251,0.0,0.0,18104,1.4388228360632391,8346
ENSG00000134970,TMED7,Gene Expression,0.08912186016010329,0.0,0.0,48781,3.826160452205904,10950
ENSG00000244687,UBE2V1,Gene Expression,0.08910754809479571,0.0,0.0,39939,3.238522321272208,10707
ENSG00000123575,FAM199X,Gene Expression,0.08897048679606794,0.0,0.0,22888,1.783935085223248,9166
ENSG00000198832,SELENOM,Gene Expression,0.08894481026366534,0.0,0.0,58628,4.768663787153895,11274
ENSG00000203805,PLPP4,Gene Expression,0.08886141558344055,0.0,0.0,1235,0.1203308034685946,1059
ENSG00000063015,SEZ6,Gene Expression,0.08885863393479633,0.0,0.0,1178,0.10564787580178087,966
ENSG00000168913,ENHO,Gene Expression,0.08885860545725599,0.0,0.0,1963,0.1843859608707759,1579
ENSG00000113916,BCL6,Gene Expression,0.08885608806276717,0.0,0.0,17167,1.4495219734032316,8384
ENSG00000008441,NFIX,Gene Expression,0.08875376734882469,0.0,0.0,51086,4.156113509639387,11116
ENSG00000102158,MAGT1,Gene Expression,0.0887504098977416,0.0,0.0,29295,2.3075595088480156,9887
ENSG00000101347,SAMHD1,Gene Expression,0.08866167570689881,0.0,0.0,18033,1.5987732827859762,8615
ENSG00000120805,ARL1,Gene Expression,0.08863975626634969,0.0,0.0,28547,2.244254692778015,9870
ENSG00000119655,NPC2,Gene Expression,0.08862007854579627,0.0,0.0,88226,7.284332144866741,11551
ENSG00000061676,NCKAP1,Gene Expression,0.08860282401483102,0.0,0.0,57043,4.525233922632461,11188
ENSG00000189184,PCDH18,Gene Expression,0.088489895547503,0.0,0.0,7932,0.7000334383012877,5337
ENSG00000102935,ZNF423,Gene Expression,0.08839605000725587,0.0,0.0,26184,2.0829211200237467,9657
ENSG00000175029,CTBP2,Gene Expression,0.08836609396802501,0.0,0.0,32172,2.559021339955226,10134
ENSG00000183780,SLC35F3,Gene Expression,0.08833301815417491,0.0,0.0,734,0.06611450914048737,634
ENSG00000131437,KIF3A,Gene Expression,0.08833097692627656,0.0,0.0,8752,0.7284412906009192,5599
ENSG00000178234,GALNT11,Gene Expression,0.08832573151907142,0.0,0.0,36386,2.900533754005901,10464
ENSG00000144227,NXPH2,Gene Expression,0.08826679076464469,0.0,0.0,5459,0.40697500613077764,3909
ENSG00000079841,RIMS1,Gene Expression,0.08826447709482861,0.0,0.0,973,0.09038235794837741,845
ENSG00000159208,CIART,Gene Expression,0.0881954719303249,0.0,0.0,9327,0.7034369362998808,5656
ENSG00000121067,SPOP,Gene Expression,0.08817744140264754,0.0,0.0,22899,1.8363213431575556,9365
ENSG00000103740,ACSBG1,Gene Expression,0.08816576454451634,0.0,0.0,1417,0.12873116571199741,1185
ENSG00000145632,PLK2,Gene Expression,0.08811533225187973,0.0,0.0,6252,0.5337575098099727,4311
ENSG00000106123,EPHB6,Gene Expression,0.0881086786527214,0.0,0.0,3721,0.3277760839476156,2886
ENSG00000189091,SF3B3,Gene Expression,0.08808481965376946,0.0,0.0,37600,3.00166974438919,10557
ENSG00000174514,MFSD4A,Gene Expression,0.08805013753722465,0.0,0.0,1293,0.1139268334595395,1092
ENSG00000139155,SLCO1C1,Gene Expression,0.08803448160526312,0.0,0.0,956,0.10192175702906356,864
ENSG00000112964,GHR,Gene Expression,0.08801999096831922,0.0,0.0,5802,0.46834913411751916,4203
